,Full Title,Description,url,Main Image,Images,date,date_short,Latitude,Longitude,location,Sub-Category Name,Sub-Category Link
10,Got dents mobile auto body 50% off  today,"Post   Call us 3522965661 for your dent repair! we provide a dent repair service right at your house, office or anywere thats convenient. you can also visit us at our shop text or call us for address 3522965661 Theres no job to big or too small! All insurance companies accepted waive deductibles possible opportunity to put some cash in your pocket when useing insurance call today for more details We do hail damage Bumper repair frame work replace parts or repair parts with minimal damage paint jobs plasti dip Now offering mechanical service Were your one stop shop and most cars can be done in a couple of hours of work so you dont have to go through the hassle of renting a car or haveing your car in a shop for two weeks or more. We give free estimates by phone or in person so call or text. 3522965661 We are giveing 50% off body shop estimates this week so call now 3522965661 for your estimate Dont waist your time or money on body shops when i could bring the body shop too you our prices are low and our work is great  Now offering to waive deductible up to 1000$ and 250 in your pocket for all customers going through insurance so it costs nothing to fix your car and you make 250$ so discount of 1250$ off any insurance jobs does not apply to cash prices call now for more details",https://boston.craigslist.org/nwb/aos/d/west-newbury-got-dents-mobile-auto-body/7896002923.html,,,2025-11-15 17:48,11/15,42.7949,-70.9778,Boston,automotive,https://boston.craigslist.org/search/aos
11,Car Removal Service  - Same Day Services cash ??,"Post   Unwanted Car Removal Service   Cash Paid on Spot ($100-$5,000+) Same Day Services Fast, Friendly and Reliable Services Free Towing  Call now for an estimate on how much we will pay you for your car. Call 781-462-8282. We look forward to hearing from you!",https://boston.craigslist.org/sob/aos/d/boston-car-removal-service-same-day/7895972851.html,,,2025-11-15 14:55,11/15,42.3503,-71.0629,South shore,automotive,https://boston.craigslist.org/search/aos
12,Junk Car Removal Services - Cash Paid! Free Towing!,"Post   Junk Car Removal Services  - Cash Paid on the Spot - Free Towing - No title? No problem. - Same day services available - Equipment removal as well! - Fast, Friendly Services  Call us today and clear out that driveway! 781-462-8282",https://boston.craigslist.org/nos/aos/d/malden-junk-car-removal-services-cash/7895972706.html,,,2025-11-15 14:54,11/15,42.4291,-71.0605,Malden,automotive,https://boston.craigslist.org/search/aos
13,automotive & Body Services,"Post   Offering decent and affordable automotive pricing on automotive repairs and as well as collision or custom body repairs.  Offering pick up on non drivable vehicles due to collision or mechanical repairs  Color match accuracy and top quality replacement parts  As well as mechanical suspension, steering, engine, transmission flush or replacement.  Maintenance repairs (oil change, transmission flush, brake flush, cooling flush, ac diagnostic, light diagnostics for check engine light’s)",https://boston.craigslist.org/nwb/aos/d/east-derry-automotive-body-services/7895916800.html,https://images.craigslist.org/00N0N_cn3TwvJWvn7_0t20CI_600x450.jpg,https://images.craigslist.org/00N0N_cn3TwvJWvn7_0t20CI_600x450.jpg,2025-11-15 03:08,11/15,42.8808,-71.309,East Derry,automotive,https://boston.craigslist.org/search/aos
14,Mobile auto detailing,"Post   Auto washing and detailing on the spot! -Carpet Shampoo- Deluxe Dash E Console- Seat Cleaning-Wax-Ceramic -Super Shine Datail- Scratch E Swirl Repair- I came to your place. I have different car washing and details prices. I wash everything by hand and using microfiber cloths to don’t damage and protect the coat of the car and I have the best products of the market. I do big trucks, cars, suv’s, Jeeps , limousines,mini vans, cargo vans and motorcycles.Diferentes clases de lavado, shampoo para sillones, manchas, alfombra, brill? , encerado, aros llantas. Puede llamarme. Feel free to call or message me; (857) 207-7611 You can follow at my Facebook Page @1RobertDetail or Robert Detail. Lights restoration… Call me anytime. Instagram Robert Aguirre, website (Robertdetaling.com)",https://boston.craigslist.org/gbs/aos/d/babson-park-mobile-auto-detailing/7895880073.html,https://images.craigslist.org/00a0a_gX9VToEAu0D_0CI0t2_600x450.jpg,https://images.craigslist.org/00a0a_gX9VToEAu0D_0CI0t2_600x450.jpg,2025-11-15 00:10,11/15,42.2946,-71.2637,Babson Park,automotive,https://boston.craigslist.org/search/aos
15,European Auto specialist mobil mechanic ??,"Post   Hey my name's Aaron I'm the mobile mechanic European auto specialist. What I can provide you is a service that gets your car fixed and fixed correctly at a price that you can afford. I usually charge a $100 an hour or I will quote you. I work for 60-70 people a month. I have references and very happy customers. I also have a lot of experience with all vehicles. What I can do in an hour It's pretty impressive. I insure my work and make sure everything is done correctly.  I pick up your parts and don't mark you up. I create a plan if needed for you and your vehical to be fixed efficiently. As the mechanic I have a lot of responsibility given to me. I do the best I can for anyone in any situation.  Diagnosis all makes and models Vehicles mile maintance(100k,150k, 200k) All Engine work Brakes Collision repair Vehicles inspections(multipoints) Second opinions All part replacement on all makes and models Custom stereo installs Tints All suspension components All cars modified and or can't see a dealer All customers welcome for advice and direction  I do this for the experience and because it gets people back on the road at a affordable price. I dont rip anyone off and I do the work correctly. I admit my mistakes and fix them out of my own pocket. Hire me if you need the best mobile mechanic around.  Pricing Brakes (pads & rotors) all 4 $200-250 front or rears $100 Diagnosing vehicals $100hr (30 minutes $50) Engine rebuilds $600-1500 Clutch & transmission swaps $600-1000 Tints $50 a window Spark plugs $100-200 Oil change $50 Valve covers $200-300 Starters $150-400 Alternators $150-400    I WORK ALL OVER NEW ENGLAND I PRODIVE ALL TOOLS I WORK IN YOUR DRIVER WAY OR WHATEVER SITUATION YOUR CARS IN I CAN TAKE JOBS SAME DAY OFTEN  I MAKE IT HAPPEN  TEXT ME YOUR NAME, LOCATION AND YEAR MAME MODEL OF YOUR VEHICAL WITH SOME DETAILS OF WHAT YOU NEED DONE  THANK FOR THE OPPURTUNITY   (978) 387-4345",https://boston.craigslist.org/nwb/aos/d/andover-european-auto-specialist-mobil/7895856694.html,https://images.craigslist.org/00O0O_4KiT26AueN_05r07g_600x450.jpg,https://images.craigslist.org/00O0O_4KiT26AueN_05r07g_600x450.jpg,2025-11-14 22:43,11/14,42.6496,-71.1565,Merrimack Northeast Mass,automotive,https://boston.craigslist.org/search/aos
16,European Auto specialist mobil mechanic ??,"Post   Hey my name's Aaron I'm the mobile mechanic European auto specialist. What I can provide you is a service that gets your car fixed and fixed correctly at a price that you can afford. I usually charge a $100 an hour or I will quote you. I work for 60-70 people a month. I have references and very happy customers. I also have a lot of experience with all vehicles. What I can do in an hour It's pretty impressive. I insure my work and make sure everything is done correctly.  I pick up your parts and don't mark you up. I create a plan if needed for you and your vehical to be fixed efficiently. As the mechanic I have a lot of responsibility given to me. I do the best I can for anyone in any situation.  Diagnosis all makes and models Vehicles mile maintance(100k,150k, 200k) All Engine work Brakes Collision repair Vehicles inspections(multipoints) Second opinions All part replacement on all makes and models Custom stereo installs Tints All suspension components All cars modified and or can't see a dealer All customers welcome for advice and direction  I do this for the experience and because it gets people back on the road at a affordable price. I dont rip anyone off and I do the work correctly. I admit my mistakes and fix them out of my own pocket. Hire me if you need the best mobile mechanic around.  Pricing Brakes (pads & rotors) all 4 $200-250 front or rears $100 Diagnosing vehicals $100hr (30 minutes $50) Engine rebuilds $600-1500 Clutch & transmission swaps $600-1000 Tints $50 a window Spark plugs $100-200 Oil change $50 Valve covers $200-300 Starters $150-400 Alternators $150-400    I WORK ALL OVER NEW ENGLAND I PRODIVE ALL TOOLS I WORK IN YOUR DRIVER WAY OR WHATEVER SITUATION YOUR CARS IN I CAN TAKE JOBS SAME DAY OFTEN  I MAKE IT HAPPEN  TEXT ME YOUR NAME, LOCATION AND YEAR MAME MODEL OF YOUR VEHICAL WITH SOME DETAILS OF WHAT YOU NEED DONE  THANK FOR THE OPPURTUNITY   (978) 387-4345",https://boston.craigslist.org/gbs/aos/d/somerville-european-auto-specialist/7895856555.html,https://images.craigslist.org/00606_eqBwaceiZIE_0aT0ew_600x450.jpg,https://images.craigslist.org/00606_eqBwaceiZIE_0aT0ew_600x450.jpg,2025-11-14 22:43,11/14,42.3829,-71.1028,Boston and metro west,automotive,https://boston.craigslist.org/search/aos
17,Dent Repairs(Mobile Service) save money call now,Post   Mobile service  I come to you   Save time and money from a body shop  Will beat anyone's price  guaranteed  Have the work done at your home or office At your convenience 15 years exp I repair  Dents Scratches Bumper repairs Paint blending  And if you need new parts I can get them also  Send pictures for an free estimate thanks Call for more info thanks  781299-4377,https://boston.craigslist.org/sob/aos/d/pawtucket-dent-repairsmobile-service/7895845902.html,https://images.craigslist.org/00f0f_7LgS5EOwFW7_0t20CI_600x450.jpg,https://images.craigslist.org/00f0f_7LgS5EOwFW7_0t20CI_600x450.jpg,2025-11-14 22:06,11/14,41.8814,-71.356,I come to you,automotive,https://boston.craigslist.org/search/aos
18,AUTO  BODY WORK AT 1/3 OF DEALERSHIP PRICES.,Post   My name is Steve and I have been doing body work for 30 years and my work is equal to or better than any body shop or car dealership.My colors always match and you can never you can never tell where the car was hit when I'm done. My prices are far below any body shops and I do the best I can for anyone that has had a fender bender and I get people back on the road for an affordable price.If I take job in the morning I can have it done that same day or the next afternoon very seldom do my jobs take over three days.I'll make it happen Call me Steve at 617-319-3587 Location of the garage is at 4 Whiting St.Hingham mass.,https://boston.craigslist.org/gbs/aos/d/accord-auto-body-work-at-3-of/7895781901.html,,,2025-11-14 18:46,11/14,42.174702,-70.885186,HINGHAM,automotive,https://boston.craigslist.org/search/aos
19,WELDING FRAME & ROT REPAIRES ON CARS & TRUCKS,"Post   REBUILING FRAME AND FLOOR BOARDS ON ROTTED CARS AND TRUCKS IS MY SPECIALTY, USING THE LATEST  MIG WELDERS  OR WHEN  NECESARY STICK WELDING. METAL FABRICATION AND REFINISH WORK IS ALSO ON THE MENU. HAVING YOUR OWN AFTERMARKET ROCKER PANELS OR PRE-FABRICATED PARTS IS A BIG HELP. SAVE TIME AND MONEY BY BRINGING THEM WITH YOU.  CALL NOW TO SET UP AN APPOINTMENT AND WE WILL DISCUSS YOUR REPAIR AND GET A PRICE OVER THE PHONE, IF POSSIBLE. A VISUAL PRICE IS MORE ACCURATE AND YOU WON'T  FIND ANYONE THAT WILL BEAT MY PRICES.  WELDING REPAIR ON EXHAUSTS DONE TOO. CALL ME, STEVE AT TELEPHONE NUMBER 617-319-3587. TWO LIFTS AND A WELL EQUIPED BP GAS STATION GARAGE WILL ALSO HELP WITH THE REPAIRS.",https://boston.craigslist.org/gbs/aos/d/accord-welding-frame-rot-repaires-on/7895780138.html,,,2025-11-14 18:40,11/14,42.174702,-70.885186,HINGHAM,automotive,https://boston.craigslist.org/search/aos
20,"Motorcycle Mechanic, Ducati Desmo Servicing 90's - 00's at reasonable","Post   Hi my names Ben.   Offering Ducati servicing in the local Boston area.  Focussing on 90’s to mid 00’s Ducatis. (ST series, Monsters, Supersports, Superbikes) but open to others too.  I'm just starting to offer my services so limiting this to 4 bikes per month.  SERVICE + PRICING  ?? - Belts & tensioning ?? - Valve checks & shims ?? - Oil, filters, plugs ?? - Fork fluids / rebuilds ?? - Brake system rebuilds ?? - Regulator / Rectifier replacement ?? - Battery replacement ?? - Chain & sprocket replacement ?? - Powder coating engine side covers. ?? - Full welding and machine shop facilities.  ?? Sample Pricing (all-in with parts):  ?? - Full Desmo Service (belts, valves, fluids, filters, plugs, brake flush): Starting at $1000 ?? - Baby service (fluids, filters, plugs, brake flush): $600 ?? - Front & rear brake overhaul (Brembo seals): $600 ?? - Fork rebuild: Starting at $500 ?? - Fork fluid only: $250  ?? Parts: OEM or trusted aftermarket.(ExactFit belts, EMS shims, Mahle filters, DID chains, etc.) depending on availability and customer preference.  ?? - Collection and drop off service available on a case by case basis.  I’ve been diligently and methodically wrenching on my own Ducati's, motorcycles and cars for over 20 years.   Full disclosure! I am NOT a Ducati Master Tech. My background is in automotive and industrial design. I am a methodical, careful perfectionist and I just love working with these machines. I was taught by my grandfather (a WW2 tank engineer) from a very young age. I will treat your machine with exactly the same care and attention, because it's the only way to do the job.   I’ve also maintained my own motorcycles during two round-the-world trips so I know thing or two about safety and reliability.  Some highlights: MacGyvering the rebuild of a Royal Enfield 500cc in Lake Toba Sumatra, can you say remote?   Also stripping down a Honda Africa Twin XRV750 in place where the police have their blood type on their bullet proof vests for good reason!  Happy to talk about work with other bikes on a case by case basis.",https://boston.craigslist.org/gbs/aos/d/new-town-motorcycle-mechanic-ducati/7895605984.html,https://images.craigslist.org/00S0S_U1EVLrMrmw_0fu0bC_600x450.jpg,https://images.craigslist.org/00S0S_U1EVLrMrmw_0fu0bC_600x450.jpg,2025-11-13 21:56,11/13,42.360801,-71.139243,Brighton,automotive,https://boston.craigslist.org/search/aos
21,@@ JUNK CARS REMOVEL $$$ CASH  ON THE SPOT $$$ 508-292-3038.....,Post   ____CALL FOR QUOTE____                                                              *** WE CAN PAY ON THE SPOT *** --- FRIEND AND FAST SERVICE --- ---- ARROUND-BRAINTREE BROCKTON/ TAUNTON/ BRIDGEWATER/ EASTON/ STOUGHTON/NORWOOD/DEDHAN/ROXBURY/DORCHESTER....AND MANY MORE CITIES!!! ---- TAUNTON/ MIDDLEBORO/ HANOVER/ WEYMOUTH/ QUINCY/HULL/HANSON/ WHITMAN/ PEMBROKE/ KINGSTON/PLYMOUTH/ CAVER/ FRAMINGHAM/ WALPOLE/ CANTON/  ---- AND MANY MORE OTHER CITIES ...... ---- JUST CALL......                                                               ********508-292-3038**************,https://boston.craigslist.org/gbs/aos/d/junk-cars-removel-cash-on-the-spot/7895470278.html,,,2025-11-13 06:36,11/13,42.0794,-71.04,FAST AND FRIENDLY SERVICE >>,automotive,https://boston.craigslist.org/search/aos
22,European Auto specialist mobil mechanic ??,"Post   Hey my name's Aaron I'm the mobile mechanic European auto specialist. What I can provide you is a service that gets your car fixed and fixed correctly at a price that you can afford. I usually charge a $100 an hour or I will quote you. I work for 60-70 people a month. I have references and very happy customers. I also have a lot of experience with all vehicles. What I can do in an hour It's pretty impressive. I insure my work and make sure everything is done correctly.  I pick up your parts and don't mark you up. I create a plan if needed for you and your vehical to be fixed efficiently. As the mechanic I have a lot of responsibility given to me. I do the best I can for anyone in any situation.  Diagnosis all makes and models Vehicles mile maintance(100k,150k, 200k) All Engine work Brakes Collision repair Vehicles inspections(multipoints) Second opinions All part replacement on all makes and models Custom stereo installs Tints All suspension components All cars modified and or can't see a dealer All customers welcome for advice and direction  I do this for the experience and because it gets people back on the road at a affordable price. I dont rip anyone off and I do the work correctly. I admit my mistakes and fix them out of my own pocket. Hire me if you need the best mobile mechanic around.  Pricing Brakes (pads & rotors) all 4 $200-250 front or rears $100 Diagnosing vehicals $100hr (30 minutes $50) Engine rebuilds $600-1500 Clutch & transmission swaps $600-1000 Tints $50 a window Spark plugs $100-200 Oil change $50 Valve covers $200-300 Starters $150-400 Alternators $150-400    I WORK ALL OVER NEW ENGLAND I PRODIVE ALL TOOLS I WORK IN YOUR DRIVER WAY OR WHATEVER SITUATION YOUR CARS IN I CAN TAKE JOBS SAME DAY OFTEN  I MAKE IT HAPPEN  TEXT ME YOUR NAME, LOCATION AND YEAR MAME MODEL OF YOUR VEHICAL WITH SOME DETAILS OF WHAT YOU NEED DONE  THANK FOR THE OPPURTUNITY   (978) 387-4345",https://boston.craigslist.org/gbs/aos/d/somerville-european-auto-specialist/7895403706.html,https://images.craigslist.org/00606_eqBwaceiZIE_0aT0ew_600x450.jpg,https://images.craigslist.org/00606_eqBwaceiZIE_0aT0ew_600x450.jpg,2025-11-12 23:46,11/12,42.3829,-71.1028,Boston and metro west,automotive,https://boston.craigslist.org/search/aos
23,Quincy Mechanic,"Post   Local Mechanic Servicing Quincy  Struggling with a broken down vehicle in Quincy and surrounding areas. You can now receive the most convenient auto repair services at a low price. I can come to you or you can come to me where i have a well equipped garage with a legit automotive lift along with the tools to get the job done. You just need to get in contact with me so i can ask you a few questions about your vehicle.    Im all about saving you money and getting the job done correct the first time around.    Quincy, Ma Mechanic offering top-notch mechanic services. Whether your looking for engine repair, oil changes, Routines Maintenance, belts, filters, brakes, steering issues, suspension issues, etc.    - Iam mobile and can come to you - Certified Mechanic, which means you can count on me.  - Experienced, have over 10+ yrs of experience. And offer expert services every time! - Affordable, run on honest pricing. No hidden fees.  - Warranty, i stand behind my work.",https://boston.craigslist.org/sob/aos/d/quincy-quincy-mechanic/7895238597.html,https://images.craigslist.org/00f0f_7niPPMWQKEx_0t20CI_600x450.jpg,https://images.craigslist.org/00f0f_7niPPMWQKEx_0t20CI_600x450.jpg,2025-11-12 07:46,11/12,42.2394,-71.0055,Quincy,automotive,https://boston.craigslist.org/search/aos
24,AUTO REPAIR on Wheels- ASE Certified (Custom Copper brake lines),"Post   Custom Copper brake lines made on the spot for your vehicle brake line overhaul.  #Auto-Repair-on-Wheels (AHAR, LLC.) is registered with MA., licensed. #ASE certified Equipped with lights, power and able to work safely in weather situations.  Rob is a Christian and ASE certified mechanic performing services on-site in many areas around Greater Boston.  #mobile-mechanic                    I NEED -1. Complete vehicle info  - 2. What does it need  - 3. What town  #Services include: #BRAKES, #Brake lines, #Shocks-STRUTS, #BALL-JOINTS  #car/truck-WHEEL-BEARINGS, #tune-ups, #control-arms, #rack-and-pinions (NO electronic rack and pinions), #tie-rod-ends, #compressors, #sub-frame, #engine-cradle, #Isuzu-kingpin, #light-duty-weld/metal-fabrication, #radiators, #suspension, #alternators, #starters, #sway-bar-links, #sway-bar-bushing, #exterior-pumps, #fuel-pump, #fuel-tank, #cv-axle, #window-motor-regulator, #wheel-studs, #steering-pump, #Exhaust-systems.  Sorry, No electrical, or body work.  JOHN 3:3 Jesus told Nicodemus ""You must be Born Again, or you can not see the kingdom of heaven""  **TEXT** nine 7 eight 231 three won 2 zero  CASH, #Cards 5% In Person, Venmo (5%) - NO CHECKS  #Greater-Boston, #Metro-West, #North-Shore, #Salem-Ma, #Newburyport-MA,, #Newton-Ma, #Acton-Ma, #Framingham-MA,#Derry-NH, #BC/BU  #Sprinter, #Transit, #Chevy, #Ford, #Dodge, #Ram, #Chrysler, #IsuzuNPR, #Cadillac, #GMC, #BMW, #Mercedes, #Audi, #SAAB, #Honda, #Toyota, #Kia, #Hyundai, #Subaru, #Acura, #Lexus, #Infiniti, #Mitsubishi  #Affordable-Honest-Auto-Repair, #mechanic, #auto-repair, #mechanic-near-me, #mobile-mechanic, #traveling-mechanic,",https://boston.craigslist.org/gbs/aos/d/dracut-auto-repair-on-wheels-ase/7895011169.html,,,2025-11-11 13:45,11/11,42.6764,-71.3186,Greater Boston region to southern NH,automotive,https://boston.craigslist.org/search/aos
25,Tractor Trailer Mechanic- DEF/DPF/EGR Tripac/APU,"Post   Are you having problems with your DPF, EGR, DEF, or any emission related issues. Give us a call! If you are looking for well experienced and knowledgeable mechanic to work on your Freightliner, International, Volvo, or any Tractor Trailer. Please reach out via email or call us directly- Maintenance, Oil Change, PM, DEF issues, DPF issues, EGR Cooler, etc. Will accommodate any afterhours calls.",https://boston.craigslist.org/gbs/aos/d/dracut-tractor-trailer-mechanic-def-dpf/7894895780.html,https://images.craigslist.org/00m0m_iMPrlqn9rvO_0CI0t2_600x450.jpg,https://images.craigslist.org/00m0m_iMPrlqn9rvO_0CI0t2_600x450.jpg,2025-11-10 22:38,11/10,42.684163,-71.312191,"Dracut, MA",automotive,https://boston.craigslist.org/search/aos
